employee_id,age,experience_years,education_level,department,skill_level,technical_skill_score,communication_score,leadership_score,problem_solving_score,task_id,task_complexity,required_skill_level,deadline_days,workload_hours,task_priority,team_size,previous_task_success_rate,attendance_rate,performance_rating,idle_time_hours,conflict_rate,allocation_status
1,50,10,Master,Marketing,Low,73,64,84,46,7690,Medium,Expert,16,5,Critical,5,88,72,Average,4,3,Suboptimal
2,36,16,Diploma,Marketing,Expert,66,93,90,94,1449,High,Medium,12,6,Low,3,97,87,Excellent,2,0,Optimal
3,29,6,Diploma,R&D,Medium,54,97,70,48,2069,Low,High,20,10,High,8,90,79,Poor,5,2,Suboptimal
4,42,13,Master,Marketing,Medium,98,60,65,74,5017,Medium,High,2,3,Critical,2,99,84,Excellent,3,0,Reassignment Required
5,40,25,Diploma,IT,Low,89,40,31,51,3819,High,Low,28,10,Critical,3,72,87,Poor,3,2,Optimal
6,44,10,Bachelor,HR,Expert,48,97,51,91,3285,Low,High,11,6,Low,9,85,93,Poor,2,0,Suboptimal
7,32,27,PhD,R&D,Medium,65,44,51,96,2399,Medium,Medium,20,11,Medium,4,81,84,Poor,4,0,Suboptimal
8,32,21,Master,IT,Expert,42,92,70,85,3248,High,Low,23,2,Low,3,67,93,Poor,1,1,Optimal
9,45,8,Bachelor,R&D,Low,75,61,43,79,7375,Medium,Low,13,8,High,4,99,88,Average,1,1,Reassignment Required
10,57,22,Bachelor,HR,Low,86,46,64,83,1723,Low,Expert,3,6,Medium,3,66,89,Excellent,5,1,Suboptimal
11,45,12,Diploma,R&D,Expert,44,52,79,78,6273,Low,Low,17,4,Low,2,64,74,Average,3,2,Optimal
12,24,22,Bachelor,IT,High,59,84,38,63,8535,Medium,Expert,10,4,High,5,60,80,Average,0,4,Suboptimal
13,43,17,Master,Operations,Low,59,91,88,48,5820,Low,Medium,8,2,High,6,99,78,Good,4,4,Reassignment Required
14,23,27,Bachelor,HR,Low,44,62,85,51,1086,Low,High,6,8,Medium,3,70,74,Average,0,4,Optimal
15,45,10,PhD,Finance,Low,49,60,39,75,8697,Medium,Medium,14,3,Low,5,91,80,Poor,3,4,Suboptimal
16,51,14,Bachelor,HR,Low,55,45,54,76,7846,Medium,Low,19,9,Low,3,66,91,Good,5,2,Suboptimal
17,59,24,Bachelor,HR,Expert,64,59,74,48,5149,High,Expert,24,5,High,7,88,76,Good,5,1,Optimal
18,23,25,PhD,HR,Expert,83,51,40,78,2751,High,High,22,5,Critical,9,89,96,Average,4,1,Reassignment Required
19,42,24,Bachelor,Operations,Expert,64,79,38,85,6161,Medium,Low,1,6,Critical,5,80,71,Excellent,1,1,Suboptimal
20,54,21,Bachelor,IT,Expert,69,48,36,91,4420,Low,Medium,25,10,Medium,4,98,89,Good,5,2,Reassignment Required
21,33,28,Diploma,Finance,High,53,89,63,61,5837,Low,Low,11,8,Low,5,98,91,Average,1,0,Optimal
22,43,18,Master,IT,Expert,61,67,49,98,3483,Medium,Expert,25,4,Critical,6,79,89,Average,5,3,Suboptimal
23,46,0,Diploma,R&D,Expert,82,50,34,56,4212,Medium,Medium,25,5,Medium,9,81,90,Poor,0,2,Suboptimal
24,48,3,Master,R&D,Low,67,91,84,72,4922,Medium,Low,14,10,High,5,88,88,Excellent,4,0,Reassignment Required
25,49,13,PhD,R&D,High,69,71,44,96,7310,Low,Expert,13,2,Critical,8,63,87,Good,5,1,Reassignment Required
26,37,13,PhD,IT,Low,58,50,77,86,7042,High,Low,12,9,Low,6,62,99,Excellent,3,1,Reassignment Required
27,36,2,PhD,Marketing,High,77,63,33,63,9013,High,Expert,22,9,High,6,68,85,Excellent,2,4,Optimal
28,24,29,Master,Operations,Medium,81,95,50,54,4527,Low,Low,6,8,Low,5,64,70,Excellent,5,4,Reassignment Required
29,58,27,Master,Marketing,High,59,54,38,68,9264,High,Medium,29,7,High,9,62,72,Good,5,0,Suboptimal
30,28,16,Master,R&D,High,74,80,95,71,9916,Medium,Medium,4,8,Low,8,84,95,Good,5,3,Optimal
31,42,2,PhD,Operations,Low,61,74,64,72,4754,Medium,Medium,24,11,Medium,6,91,78,Excellent,5,0,Optimal
32,30,15,Master,IT,High,54,56,80,68,9162,Low,Medium,9,5,Low,6,92,86,Average,2,0,Optimal
33,39,13,Bachelor,R&D,High,50,64,66,54,5365,Low,Medium,28,5,Low,7,77,77,Good,2,3,Suboptimal
34,25,29,Diploma,IT,Low,93,88,35,66,9410,Medium,High,7,6,High,4,95,90,Poor,5,0,Reassignment Required
35,46,19,PhD,Operations,Medium,73,74,80,73,1546,Medium,Low,7,5,Low,8,88,85,Excellent,3,0,Optimal
36,35,28,Diploma,IT,Medium,96,58,95,43,4729,Low,Medium,13,5,Low,9,98,81,Good,2,2,Optimal
37,30,12,Bachelor,IT,Medium,63,80,46,88,8350,Low,High,2,10,Low,2,61,73,Good,0,3,Suboptimal
38,47,14,Master,Finance,High,45,70,94,87,6884,Medium,High,2,7,High,9,70,74,Excellent,1,1,Suboptimal
39,23,13,Diploma,Marketing,Low,56,56,38,57,2968,Medium,Low,28,4,Critical,4,90,96,Poor,2,4,Reassignment Required
40,41,23,Bachelor,Marketing,Medium,67,94,42,60,5516,High,Expert,15,4,Critical,2,63,76,Average,1,1,Reassignment Required
41,49,24,Bachelor,Marketing,Medium,89,89,87,87,2259,High,Low,26,11,Critical,2,88,99,Average,5,1,Reassignment Required
42,28,18,Diploma,HR,Medium,70,62,59,47,7992,Medium,Low,16,9,Low,4,62,93,Good,5,4,Suboptimal
43,29,5,PhD,Finance,Medium,75,86,60,45,8756,Low,Expert,27,4,Medium,6,61,87,Poor,0,4,Optimal
44,56,9,Diploma,R&D,Low,94,40,52,93,3933,High,Expert,2,5,Medium,7,95,91,Poor,4,0,Optimal
45,35,26,PhD,R&D,Medium,48,97,92,59,3509,High,Medium,20,7,High,8,73,99,Excellent,5,3,Suboptimal
46,38,14,Master,R&D,High,49,49,57,41,2562,Medium,Expert,25,10,Critical,4,63,89,Excellent,4,4,Reassignment Required
47,57,20,PhD,Marketing,High,60,47,88,90,9075,Low,Expert,5,7,Low,6,89,83,Poor,3,3,Optimal
48,25,21,Master,Marketing,Low,97,81,39,84,4669,Low,Low,2,4,High,4,78,77,Average,1,0,Optimal
49,23,19,Diploma,Finance,Expert,73,65,55,61,3481,Medium,Low,20,7,Low,9,78,82,Excellent,3,1,Suboptimal
50,27,25,Master,IT,Medium,70,73,46,93,8198,Low,Low,7,5,High,4,90,97,Excellent,2,4,Reassignment Required
51,25,5,Bachelor,Marketing,Medium,68,58,69,60,1204,Medium,Expert,5,6,Critical,9,74,73,Average,3,4,Optimal
52,50,22,Master,R&D,High,82,53,97,45,1741,Low,High,11,6,Low,7,88,81,Average,5,0,Reassignment Required
53,39,24,PhD,IT,Low,82,47,52,98,8049,Medium,Medium,8,4,Critical,3,62,72,Excellent,0,3,Suboptimal
54,47,9,PhD,Marketing,Expert,50,90,64,71,5263,Low,Low,17,6,Critical,5,78,74,Poor,3,3,Suboptimal
55,55,6,PhD,Operations,High,72,40,38,45,8837,Medium,High,14,6,Low,4,81,73,Excellent,5,2,Reassignment Required
56,31,21,Master,HR,Expert,97,87,74,52,5737,Medium,Medium,29,8,Critical,5,79,84,Average,2,1,Optimal
57,57,16,PhD,Marketing,Low,85,64,66,40,2105,Low,Low,5,10,High,6,66,97,Excellent,2,2,Optimal
58,35,17,PhD,Operations,Low,40,63,98,61,7830,Medium,High,4,6,High,9,63,74,Good,0,3,Optimal
59,52,16,Bachelor,Finance,Low,60,86,48,92,5197,High,Medium,3,10,High,3,60,78,Average,1,2,Reassignment Required
60,36,8,Master,Operations,High,62,59,56,63,1088,Low,Low,7,6,Critical,7,66,83,Excellent,4,3,Reassignment Required
61,29,9,Bachelor,Finance,Low,96,95,42,80,7488,Medium,Low,26,5,Low,9,81,96,Good,0,4,Optimal
62,35,9,PhD,Marketing,High,48,69,86,69,4381,Low,High,11,7,Critical,3,96,85,Average,4,0,Suboptimal
63,44,24,PhD,Finance,High,95,44,89,61,4185,Low,Expert,1,9,Critical,2,89,72,Good,0,2,Suboptimal
64,42,6,PhD,Operations,Medium,40,42,41,83,7679,Medium,Expert,22,5,High,8,68,84,Poor,0,4,Optimal
65,37,15,Master,HR,High,60,71,38,51,7306,High,Low,24,6,Low,8,86,99,Average,3,4,Reassignment Required
66,39,28,Diploma,IT,High,61,56,56,65,1864,Low,High,18,11,Medium,9,97,87,Good,3,0,Optimal
67,45,17,PhD,IT,Medium,93,81,92,43,9246,High,Expert,22,2,Medium,7,82,87,Poor,3,0,Suboptimal
68,47,5,PhD,HR,Expert,43,44,58,58,5671,High,Expert,27,11,Low,8,71,83,Good,0,4,Suboptimal
69,46,26,PhD,R&D,Medium,40,50,51,55,1557,Medium,Expert,1,2,Low,7,72,94,Average,3,4,Suboptimal
70,50,19,PhD,IT,Medium,90,77,48,97,5291,Medium,High,29,9,High,5,92,76,Average,5,2,Optimal
71,36,0,Master,Marketing,Low,49,43,67,51,1447,Low,High,16,8,Low,3,74,95,Average,0,2,Optimal
72,22,0,Diploma,R&D,Low,54,78,68,72,2821,Medium,Medium,13,6,Low,6,75,97,Poor,3,1,Suboptimal
73,46,11,Diploma,Marketing,Medium,91,58,44,94,4819,Low,Expert,6,10,Critical,2,93,89,Excellent,4,1,Suboptimal
74,28,20,Diploma,Operations,Low,75,78,83,60,1091,Low,High,6,2,Critical,3,68,75,Average,1,4,Suboptimal
75,30,27,PhD,Operations,Medium,68,85,61,75,1607,High,Medium,21,4,Medium,6,86,95,Poor,3,1,Suboptimal
76,45,1,PhD,R&D,Low,91,88,75,48,1285,Medium,Low,23,7,High,5,74,85,Poor,2,4,Reassignment Required
77,22,3,Diploma,R&D,High,85,62,90,78,3921,Medium,Medium,14,2,High,6,94,91,Average,5,0,Optimal
78,29,16,Diploma,R&D,Low,44,56,81,81,1101,Low,Expert,5,7,Low,6,93,88,Average,1,0,Reassignment Required
79,45,3,PhD,R&D,Low,68,52,63,84,4835,High,High,8,3,High,8,99,78,Average,2,2,Suboptimal
80,32,10,PhD,Finance,High,86,66,64,47,9169,Medium,Expert,18,11,Medium,8,89,89,Average,1,3,Suboptimal
81,38,21,Bachelor,R&D,Medium,86,40,99,59,5235,High,Expert,6,6,Critical,9,82,70,Excellent,3,4,Reassignment Required
82,29,25,Bachelor,R&D,Low,66,41,66,49,8509,High,Low,5,11,Medium,6,68,87,Excellent,4,2,Reassignment Required
83,56,3,Bachelor,Operations,Low,64,57,90,71,7716,Low,High,10,3,Medium,4,91,90,Good,3,1,Reassignment Required
84,56,0,Diploma,Marketing,High,55,75,78,67,1534,Medium,High,18,2,Low,7,94,83,Excellent,5,4,Suboptimal
85,54,6,Master,Operations,High,55,84,38,49,7666,Medium,Low,27,5,Critical,3,91,83,Good,0,2,Optimal
86,26,29,PhD,IT,High,75,72,48,47,9207,Medium,High,13,3,Low,6,75,77,Good,2,1,Optimal
87,49,17,Bachelor,Finance,Expert,64,75,57,91,9752,High,Medium,23,10,Medium,9,91,92,Poor,1,4,Reassignment Required
88,28,8,Master,Finance,High,80,41,55,86,3925,Medium,Expert,20,4,Medium,2,84,94,Excellent,4,2,Reassignment Required
89,30,28,PhD,Marketing,Medium,40,43,67,72,1909,Low,Low,6,10,High,4,89,86,Excellent,2,3,Reassignment Required
